ID.exposure,Causal.Estimate_Raw,Causal.Estimate_Outlier-corrected,Sd_Raw,Sd_Outlier-corrected,T.stat_Raw,T.stat_Outlier-corrected,P.value_Raw,P.value_Outlier-corrected,RSSobs,Pvalue
（多）ukb-a-158,2.839556356,NA,4.87450139,NA,0.58253268,NA,0.576253941,NA,17.62544957,0.125
（多）ukb-a-524,15.90832542,NA,13.19685475,NA,1.205463401,NA,0.281955738,NA,10.15262997,0.255
（多）ukb-b-1315,7.346185372,NA,3.950102715,NA,1.859745405,NA,0.079344836,NA,23.81580743,0.284
ebi-a-GCST90013893,0.067835082,NA,0.029185627,NA,2.324263355,NA,0.021982314,NA,118.2443435,0.289
ebi-a-GCST90013943,0.079687407,NA,0.028693275,NA,2.777215433,NA,0.00647508,NA,114.0476937,0.356
ebi-a-GCST90018853,0.060173151,NA,0.03356806,NA,1.792571632,NA,0.090854454,NA,26.69845097,0.158
ebi-a-GCST90018855,0.123201436,NA,0.048361219,NA,2.547525423,NA,0.02711429,NA,15.55674552,0.323
ebi-a-GCST90018860,0.027432636,NA,0.041062283,NA,0.668073817,NA,0.519207715,NA,12.27528683,0.43
ebi-a-GCST90018862,0.089150439,NA,0.033137897,NA,2.690286549,NA,0.009095545,NA,62.07508641,0.586
ebi-a-GCST90018990,0.07682091,NA,0.028731552,NA,2.673747349,NA,0.008583016,NA,114.1666035,0.597
ebi-a-GCST90029022,1.698304283,NA,0.650436441,NA,2.611022654,NA,0.010178563,NA,153.4635684,0.029
ukb-a-190,1.882645306,NA,0.954369921,NA,1.97265784,NA,0.053862254,NA,72.21389682,0.05
ukb-a-523,1.394560066,NA,13.59727388,NA,0.10256174,NA,0.920559651,NA,9.339988324,0.622
ukb-a-76,0.637844332,NA,4.391095317,NA,0.145258594,NA,0.891532318,NA,5.92783032,0.486
ukb-a-77,1.625256847,NA,0.639128471,NA,2.542926691,NA,0.012945979,NA,84.55674881,0.395
ukb-b-17918,2.083768763,NA,0.867293638,NA,2.402610456,NA,0.018786757,NA,91.08833331,0.126
ukb-b-19732,1.80555887,NA,0.622278088,NA,2.901530527,NA,0.004451176,NA,126.3186233,0.271
ukb-b-20289,1.976502213,NA,3.891999756,NA,0.507837188,NA,0.622580332,NA,10.97519105,0.554
ukb-b-4226,4.470449955,NA,1.743676561,NA,2.563806875,NA,0.015094175,NA,36.16645534,0.407
ukb-b-9971,1.079296593,NA,3.960611445,NA,0.272507568,NA,0.789209849,NA,21.4547059,0.211
（多）ukb-b-13532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ebi-a-GCST90013933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ebi-a-GCST90018929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ukb-b-16956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
